NAME	TITLE	SCORE	
PLEKHM1P1		1.7020714	
ZNF446		1.7000945	
SREK1IP1		1.6994431	
ESM1		1.6932751	
CAPN15		1.685811	
DARS		1.6792389	
PEX7		1.6789924	
ZNF211		1.6769859	
TRPT1		1.6742821	
ANAPC4		1.6740566	
ZNF177		1.6733822	
YBEY		1.6707097	
RPS10P7		1.6705425	
ABHD14A		1.6681417	
SHISA2		1.6680269	
ERCC5		1.6648333	
SLITRK4		1.6633887	
RNASET2		1.6626102	
ZNF582		1.6624348	
PAPD4		1.6596893	
ATXN10		1.6593713	
EPHX3		1.6591557	
HEXA-AS1		1.6585541	
PCDHGB2		1.65622	
IVD		1.6548431	
BLOC1S2		1.6535476	
BATF		1.6528791	
ZNF132		1.6487216	
LMBRD1		1.6455166	
ZNF320		1.6451045	
ASPH		1.6435966	
SMCP		1.6426662	
LIAS		1.6401535	
IL20RA		1.6383917	
ATP8B1		1.6379151	
TFF2		1.6367674	
ZNF20		1.6352115	
IDH1		1.6330929	
EGLN3		1.6325363	
TRIP6		1.632444	
PARP16		1.6286988	
THRB		1.6284161	
ADIRF		1.6272249	
FAM110C		1.6271257	
TNNI3K		1.6234415	
HILPDA		1.6232045	
BAZ2B		1.6214253	
NOL4L		1.6212362	
NDUFC1		1.6207154	
CTSE		1.6188875	
GSTP1		1.6151624	
ARHGEF19		1.6134284	
CORO1B		1.6120527	
GOLGA2P7		1.6098638	
CPA4		1.6096599	
ZNF841		1.6022485	
GJB5		1.6020259	
COQ6		1.6020118	
BTAF1		1.6009327	
SERINC4		1.5977921	
AP5M1		1.5973861	
LOC100130987		1.5917932	
INA		1.5914311	
PROM2		1.5887146	
C11orf49		1.5864301	
ALDOA		1.5844365	
CHADL		1.5796165	
ZNF10		1.57931	
NME3		1.5774992	
IGBP1		1.5751796	
FBXO38		1.5729619	
SDR42E1		1.5702602	
DFNB59		1.5702105	
GNGT1		1.5689056	
SCAMP1		1.5677634	
N6AMT1		1.5675495	
MXD4		1.5655441	
GSTK1		1.5593045	
CUL9		1.5584493	
TTC19		1.5554957	
PPM1N		1.5544952	
CCNG2		1.5543797	
DGCR5		1.5529951	
FOXQ1		1.5525992	
TUBE1		1.5501786	
POLR2J4		1.5499701	
ANGPT2		1.5446842	
RASA4CP		1.5434288	
TWF1		1.5422103	
LINC00893		1.5392195	
ASMTL-AS1		1.5383364	
FDFT1		1.5379555	
STX6		1.5338901	
RRN3P2		1.5314671	
ZNF780B		1.5310771	
PLEKHN1		1.5268645	
KRT19		1.5268534	
DECR1		1.525733	
GSTM1		1.5256834	
ACAD11		1.5219288	
ETNK1		1.5208504	
HMG20A		1.5183587	
BBS4		1.5179847	
SRPX2		1.5167928	
ARHGAP27		1.5164418	
HOXC4		1.5152282	
PHYKPL		1.5130441	
DHRS1		1.5099267	
IGSF22		1.5082427	
CASP4		1.5015969	
ALPK1		1.5010519	
TRIM72		1.5003849	
ALG13		1.5002968	
PRR29		1.500294	
BCL6		1.5002776	
MYT1		1.5002775	
TSPAN3		1.4990062	
FBXL19		1.4986447	
SCRN2		1.4980459	
HPGD		1.4971589	
LIG4		1.4960066	
RNPEPL1		1.4953896	
GRM4		1.4947308	
TYW5		1.49219	
PLAC4		1.4909524	
ZBTB1		1.4899149	
AMIGO2		1.481401	
EGLN1		1.4811379	
GALE		1.4804131	
SLTM		1.4781743	
SLC7A8		1.4750191	
BTBD9		1.4731147	
SLC9A1		1.4722444	
PTPN13		1.4718331	
LIPK		1.4712882	
TNK1		1.4665145	
LINC01001		1.4613596	
MAP3K12		1.4607078	
GIPC1		1.4604807	
PTPRS		1.4553133	
SNX33		1.4542959	
THUMPD2		1.4542459	
CLDN12		1.4512765	
HINT1		1.4469905	
ADAM10		1.4432003	
GALC		1.4429774	
ZFP14		1.4426186	
NSA2		1.4418793	
LMBR1L		1.4412553	
RPL13AP20		1.4410347	
MGAT1		1.4394277	
IFT140		1.4386444	
SLC38A2		1.4384125	
MDP1		1.4364222	
SPATA24		1.4348592	
ZNF280D		1.4345596	
LOC100132287		1.4330717	
NME1-NME2		1.4320263	
WBP1		1.4292278	
LMNTD2		1.4276565	
FLYWCH1		1.4272838	
MAP4K3		1.426906	
CCDC181		1.4262187	
KDM5B		1.4253119	
ZNF837		1.4213744	
SPRED2		1.4181758	
LRIT3		1.417335	
RAET1E		1.4161294	
DCTN4		1.4154365	
ARG2		1.4149252	
SEC31B		1.4144955	
PRR15		1.414005	
PDLIM1		1.4126642	
KAT2A		1.4079792	
COX4I1		1.4050995	
SLC37A2		1.405048	
ERMARD		1.4042611	
KRTCAP3		1.3996638	
SEPT9		1.395026	
ACBD4		1.3935183	
FLJ42627		1.3918916	
SF3B1		1.3899704	
GALNT9-AS1		1.3895417	
FAM13A		1.3894947	
TSPYL1		1.3868878	
